b	eng	b	B	O	O
查	vn	cha	E	O	O
未	n	wei	B	O	O
闻	n	wen	E	O	O
及	c	ji	S	O	O
异	d	yi	B	O	O
常	d	chang	E	O	O
，	x	，	S	O	O
腹	n	fu	B	O	O
部	n	bu	E	O	O
平	a	ping	B	O	O
坦	a	tan	E	O	O
，	x	，	S	O	O
未	d	wei	B	O	O
见	v	jian	E	O	O
胃	n	wei	B	O	O
肠	n	chang	E	O	O
型	k	xing	S	O	O
及	c	ji	S	O	O
蠕	v	ru	B	O	O
动	v	dong	E	O	O
波	j	bo	S	O	O
，	x	，	S	O	O
无	v	wu	S	O	O
腹	n	fu	B	O	O
壁	n	bi	E	O	O
静	l	jing	B	SB	SB
脉	l	mai	I	SI	SI
曲	l	qu	I	SI	SI
张	l	zhang	E	SE	SE
。	x	。	S	O	O
无	v	wu	S	O	O
压	n	ya	B	O	O
痛	n	tong	E	O	O
，	x	，	S	O	O
反	v	fan	B	O	O
跳	v	tiao	E	O	O
痛	v	tong	B	O	O
及	v	ji	E	O	O
肌	n	ji	S	O	O
紧	a	jin	B	O	O
张	a	zhang	E	O	O
。	x	。	S	O	O
腹	n	fu	B	O	O
部	n	bu	E	O	O
未	d	wei	S	O	O
触	v	chu	B	O	O
及	v	ji	E	O	O
包	n	bao	B	O	O
块	n	kuai	E	O	O
。	x	。	S	O	O
叩	vg	kou	B	O	O
鼓	n	gu	I	O	O
音	n	yin	E	O	O
。	x	。	S	O	O
肠	n	chang	S	O	O
鸣	n	ming	B	O	O
音	n	yin	E	O	O
正	d	zheng	B	O	O
常	d	chang	E	O	O
，	x	，	S	O	O
无	v	wu	S	O	O
亢	v	kang	B	O	O
进	v	jin	E	O	O
（	x	（	S	O	O
4	m	4	S	O	O
次	t	ci	S	O	O
/	x	/	S	O	O
分	v	fen	S	O	O
）	x	）	S	O	O
。	x	。	S	O	O
双	m	shuang	B	O	O
侧	v	ce	E	O	O
肋	n	lei	S	O	O
脊	n	ji	B	O	O
角	n	jiao	E	O	O
对	v	dui	B	O	O
称	v	cheng	E	O	O
无	v	wu	S	O	O
隆	v	long	B	SB	SB
起	v	qi	E	SE	SE
，	x	，	S	O	O
双	m	shuang	S	O	O
肾	n	shen	B	O	O
区	n	qu	E	O	O
无	v	wu	S	O	O
叩	v	kou	B	O	O
击	v	ji	E	O	O
痛	a	tong	S	O	O
，	x	，	S	O	O
未	d	wei	S	O	O
触	v	chu	B	O	O
及	v	ji	E	O	O
肿	n	zhong	B	O	SB
块	n	kuai	E	O	SE
。	x	。	S	O	O
耻	n	chi	B	O	O
骨	n	gu	E	O	O
上	f	shang	S	O	O
膀	n	bang	B	O	O
胱	n	guang	E	O	O
区	n	qu	S	O	O
无	v	wu	S	O	O
肿	v	zhong	B	SB	SB
胀	v	zhang	E	SE	SE
，	x	，	S	O	O
压	n	ya	B	O	O
痛	n	tong	E	O	O
。	x	。	S	O	O

患	n	huan	B	O	O
者	n	zhe	E	O	O
精	n	jing	B	O	O
神	n	shen	E	O	O
状	n	zhuang	B	O	O
况	n	kuang	E	O	O
可	v	ke	S	O	O
，	x	，	S	O	O
无	v	wu	S	O	O
发	v	fa	B	SB	SB
热	v	re	E	SE	SE
，	x	，	S	O	O
诉	vn	su	S	O	O
上	n	shang	B	O	O
唇	n	chun	E	O	O
疼	n	teng	B	SB	SB
痛	n	tong	E	SE	SE
减	v	jian	B	O	O
轻	v	qing	E	O	O
明	a	ming	B	O	O
显	a	xian	E	O	O
，	x	，	S	O	O
睡	v	shui	B	O	O
眠	v	mian	E	O	O
可	v	ke	S	O	O
，	x	，	S	O	O
饮	n	yin	B	O	O
食	n	shi	E	O	O
及	c	ji	B	O	O
二	m	er	I	O	O
便	d	bian	E	O	O
正	d	zheng	B	O	O
常	d	chang	E	O	O
。	x	。	S	O	O
查	v	cha	S	O	O
：	x	：	S	O	O
肺	n	fei	S	O	O
心	n	xin	B	O	O
腹	n	fu	E	O	O
未	i	wei	B	O	O
见	i	jian	I	O	O
异	i	yi	I	O	O
常	i	chang	E	O	O
。	x	。	S	O	O
头	n	tou	B	O	O
颅	n	lu	E	O	O
无	v	wu	S	O	O
畸	n	ji	B	SB	SB
形	n	xing	E	SE	SE
，	x	，	S	O	O
双	m	shuang	B	O	O
侧	v	ce	E	O	O
瞳	n	tong	B	O	O
孔	n	kong	E	O	O
正	a	zheng	B	O	O
大	a	da	E	O	O
等	u	deng	S	O	O
圆	vg	yuan	S	O	O
对	p	dui	S	O	O
光	l	guang	B	O	O
反	l	fan	I	O	O
射	l	she	E	O	O
灵	nr	ling	B	O	O
敏	nr	min	E	O	O
。	x	。	S	O	O
右	f	you	S	O	O
颧	n	quan	B	O	O
部	n	bu	E	O	O
肿	v	zhong	B	SB	SB
胀	v	zhang	E	SE	SE
已	d	yi	S	O	O
消	v	xiao	B	O	O
退	v	tui	E	O	O
、	x	、	S	O	O
压	n	ya	B	O	O
痛	n	tong	E	O	O
，	x	，	S	O	O
挫	v	cuo	B	O	O
伤	v	shang	E	O	O
部	n	bu	B	O	O
分	n	fen	E	O	O
结	v	jie	B	O	O
痂	v	jia	E	O	O
脱	v	tuo	B	O	O
落	v	luo	E	O	O
。	x	。	S	O	O
鼻	n	bi	S	O	O
背	f	bei	B	O	O
部	f	bu	E	O	O
挫	v	cuo	B	O	O
伤	v	shang	E	O	O
部	n	bu	B	O	O
分	n	fen	E	O	O
结	v	jie	B	O	O
痂	v	jia	E	O	O
脱	v	tuo	B	O	O
落	v	luo	E	O	O
，	x	，	S	O	O
右	f	you	S	O	O
上	n	shang	B	O	O
唇	n	chun	E	O	O
肿	v	zhong	B	SB	SB
胀	v	zhang	E	SE	SE
略	d	lve	S	O	O
消	v	xiao	B	O	O
退	v	tui	E	O	O
明	a	ming	B	O	O
显	a	xian	E	O	O
，	x	，	S	O	O
压	n	ya	B	O	O
痛	n	tong	E	O	O
，	x	，	S	O	O
挫	v	cuo	B	O	O
伤	v	shang	E	O	O
部	n	bu	B	O	O
分	n	fen	E	O	O
结	v	jie	B	O	O
痂	v	jia	E	O	O
。	x	。	S	O	O
右	n	you	B	O	O
手	n	shou	E	O	O
内	f	nei	B	O	O
侧	f	ce	E	O	O
无	n	wu	B	O	O
菌	n	jun	E	O	O
绷	n	beng	B	O	O
带	n	dai	E	O	O
固	a	gu	B	O	O
定	a	ding	E	O	O
良	a	liang	B	O	O
好	a	hao	E	O	O
，	x	，	S	O	O
无	v	wu	S	O	O
渗	v	shen	B	O	O
出	v	chu	E	O	O
。	x	。	S	O	O
手	n	shou	B	O	O
指	n	zhi	E	O	O
感	l	gan	B	O	O
觉	l	jue	I	O	O
运	l	yun	I	O	O
动	l	dong	E	O	O
正	d	zheng	B	O	O
常	d	chang	E	O	O
。	x	。	S	O	O
神	l	shen	B	O	O
经	l	jing	I	O	O
系	l	xi	I	O	O
统	l	tong	E	O	O
查	nr	cha	B	O	O
体	nr	ti	E	O	O
未	i	wei	B	O	O
见	i	jian	I	O	O
异	i	yi	I	O	O
常	i	chang	E	O	O
。	x	。	S	O	O
患	n	huan	B	O	O
者	n	zhe	E	O	O
及	c	ji	S	O	O
家	n	jia	B	O	O
属	n	shu	E	O	O
要	v	yao	B	O	O
求	v	qiu	E	O	O
今	t	jin	B	O	O
日	t	ri	E	O	O
出	n	chu	B	O	O
院	n	yuan	E	O	O
。	x	。	S	O	O

患	n	huan	B	O	O
者	n	zhe	E	O	O
术	t	shu	B	O	O
后	t	hou	E	O	O
第	m	di	B	O	O
四	m	si	I	O	O
天	m	tian	E	O	O
，	x	，	S	O	O
未	v	wei	B	O	O
诉	v	su	E	O	O
切	n	qie	B	O	O
口	n	kou	E	O	O
疼	n	teng	B	SB	SB
痛	n	tong	E	SE	SE
，	x	，	S	O	O
无	v	wu	S	O	O
发	v	fa	B	SB	SB
热	v	re	E	SE	SE
，	x	，	S	O	O
无	v	wu	S	O	O
腹	n	fu	B	SB	SB
痛	n	tong	E	SE	SE
腹	v	fu	B	SB	SB
胀	v	zhang	E	SE	SE
，	x	，	S	O	O
饮	n	yin	B	O	O
食	n	shi	E	O	O
及	c	ji	B	O	O
二	m	er	I	O	O
便	d	bian	E	O	O
正	d	zheng	B	O	O
常	d	chang	E	O	O
。	x	。	S	O	O
肛	n	gang	B	O	O
门	n	men	E	O	O
已	d	yi	S	O	O
排	n	pai	B	O	O
气	n	qi	E	O	O
排	v	pai	B	O	O
便	v	bian	E	O	O
，	x	，	S	O	O
小	nr	xiao	B	O	O
便	nr	bian	E	O	O
正	d	zheng	B	O	O
常	d	chang	E	O	O
。	x	。	S	O	O
查	nr	cha	B	O	O
体	nr	ti	E	O	O
：	x	：	S	O	O
T	x	T	S	O	O
：	x	：	S	O	O
3	m	3	B	O	O
7	m	7	E	O	O
℃	x	℃	S	O	O
：	x	：	S	O	O
双	m	shuang	B	O	O
肺	n	fei	E	O	O
呼	v	hu	B	O	O
吸	v	xi	E	O	O
音	n	yin	S	O	O
清	a	qing	B	O	O
晰	a	xi	E	O	O
，	x	，	S	O	O
未	n	wei	B	O	O
闻	n	wen	E	O	O
及	c	ji	S	O	O
干	a	gan	B	O	O
湿	a	shi	E	O	O
性	ng	xing	S	O	O
啰	zg	luo	S	O	O
音	n	yin	S	O	O
。	x	。	S	O	O
腹	ng	fu	B	O	O
平	a	ping	I	O	O
软	a	ruan	E	O	O
，	x	，	S	O	O
未	d	wei	B	O	O
见	v	jian	I	O	O
肠	n	chang	E	O	O
形	n	xing	B	O	O
及	c	ji	E	O	O
蠕	v	ru	B	O	O
动	v	dong	E	O	O
波	j	bo	S	O	O
。	x	。	S	O	O
肝	n	gan	B	O	O
脾	n	pi	I	O	O
未	d	wei	E	O	O
触	v	chu	B	O	O
及	v	ji	E	O	O
，	x	，	S	O	O
无	v	wu	S	O	O
压	n	ya	B	O	O
痛	n	tong	E	O	O
反	v	fan	B	O	O
跳	v	tiao	E	O	O
痛	v	tong	B	O	O
及	v	ji	E	O	O
肌	n	ji	S	O	O
紧	a	jin	B	O	O
张	a	zhang	E	O	O
。	x	。	S	O	O
移	n	yi	B	O	O
动	n	dong	I	O	O
性	n	xing	E	O	O
浊	n	zhuo	B	O	O
音	n	yin	E	O	O
阴	n	yin	B	O	O
性	n	xing	E	O	O
，	x	，	S	O	O
肠	n	chang	S	O	O
鸣	n	ming	B	O	O
音	n	yin	E	O	O
正	d	zheng	B	O	O
常	d	chang	E	O	O
4	m	4	S	O	O
次	t	ci	S	O	O
/	x	/	S	O	O
分	v	fen	S	O	O
。	x	。	S	O	O
切	n	qie	B	O	O
口	n	kou	E	O	O
无	v	wu	S	O	O
红	n	hong	B	SB	SB
肿	n	zhong	E	SE	SE
渗	v	shen	B	O	O
出	v	chu	E	O	O
。	x	。	S	O	O
阴	n	yin	B	O	O
囊	n	nang	E	O	O
无	v	wu	S	O	O
水	n	shui	B	SB	SB
肿	n	zhong	E	SE	SE
血	n	xie	B	SB	SB
肿	n	zhong	E	SE	SE
。	x	。	S	O	O
给	v	gei	B	O	O
予	v	yu	E	O	O
患	n	huan	B	O	O
者	n	zhe	E	O	O
停	v	ting	B	O	O
止	v	zhi	E	O	O
静	n	jing	B	O	O
点	n	dian	E	O	O
抗	nz	kang	B	O	O
生	nz	sheng	I	O	O
素	nz	su	E	O	O

，	x	，	S	O	O
切	n	qie	B	O	O
口	n	kou	E	O	O
换	nz	huan	B	O	O
药	nz	yao	E	O	O
，	x	，	S	O	O
患	n	huan	B	O	O
者	n	zhe	E	O	O
要	v	yao	B	O	O
求	v	qiu	E	O	O
出	n	chu	B	O	O
院	n	yuan	E	O	O
，	x	，	S	O	O
给	v	gei	B	O	O
予	v	yu	E	O	O
办	n	ban	B	O	O
理	n	li	E	O	O
。	x	。	S	O	O

患	n	huan	B	O	O
者	n	zhe	E	O	O
精	n	jing	B	O	O
神	n	shen	E	O	O
可	v	ke	S	O	O
，	x	，	S	O	O
饮	n	yin	B	O	O
食	n	shi	E	O	O
可	v	ke	S	O	O
，	x	，	S	O	O
睡	v	shui	B	O	O
眠	v	mian	E	O	O
可	v	ke	S	O	O
，	x	，	S	O	O
二	m	er	B	O	O
便	d	bian	E	O	O
正	d	zheng	B	O	O
常	d	chang	E	O	O
。	x	。	S	O	O
右	f	you	S	O	O
膝	n	xi	B	O	O
关	n	guan	I	O	O
节	n	jie	E	O	O
疼	n	teng	B	SB	SB
痛	n	tong	E	SE	SE
缓	v	huan	B	O	O
解	v	jie	E	O	O
。	x	。	S	O	O
查	nr	cha	B	O	O
体	nr	ti	E	O	O
：	x	：	S	O	O
神	nr	shen	B	O	O
清	nr	qing	E	O	O
，	x	，	S	O	O
心	n	xin	B	O	O
肺	n	fei	E	O	O
腹	n	fu	S	O	O
未	i	wei	B	O	O
见	i	jian	I	O	O
异	i	yi	I	O	O
常	i	chang	E	O	O
。	x	。	S	O	O
脊	n	ji	B	O	O
柱	n	zhu	E	O	O
无	v	wu	S	O	O
侧	v	ce	B	O	SB
弯	v	wan	E	O	SI
畸	n	ji	B	SB	SI
形	n	xing	E	SE	SE
，	x	，	S	O	O
右	f	you	S	O	O
膝	n	xi	B	O	O
关	n	guan	I	O	O
节	n	jie	E	O	O
活	vn	huo	B	O	O
动	vn	dong	E	O	O
范	n	fan	B	O	O
围	n	wei	E	O	O
可	v	ke	S	O	O
，	x	，	S	O	O
无	v	wu	S	O	O
红	n	hong	B	SB	SB
肿	n	zhong	E	SE	SE
，	x	，	S	O	O
无	v	wu	S	O	O
发	v	fa	B	SB	SB
热	v	re	E	SE	SE
，	x	，	S	O	O
右	n	you	B	O	O
膝	n	xi	E	O	O
浮	v	fu	S	O	O
髌	n	bin	S	O	O
试	vn	shi	B	O	O
验	vn	yan	E	O	O
阴	n	yin	B	O	O
性	n	xing	E	O	O
，	x	，	S	O	O
四	n	si	B	O	O
肢	n	zhi	E	O	O
肌	n	ji	B	O	O
力	n	li	E	O	O
肌	n	ji	S	O	O
张	n	zhang	B	O	O
力	n	li	E	O	O
正	d	zheng	B	O	O
常	d	chang	E	O	O
，	x	，	S	O	O
生	vn	sheng	B	O	O
理	vn	li	E	O	O
反	v	fan	B	O	O
射	v	she	E	O	O
正	d	zheng	B	O	O
常	d	chang	E	O	O
存	v	cun	B	O	O
在	v	zai	E	O	O
，	x	，	S	O	O
病	n	bing	B	O	O
理	n	li	E	O	O
反	v	fan	B	O	O
射	v	she	E	O	O
未	d	wei	S	O	O
引	v	yin	B	O	O
出	v	chu	E	O	O
。	x	。	S	O	O

查	v	cha	B	O	O
房	v	fang	E	O	O
时	n	shi	S	O	O
患	n	huan	B	O	O
者	n	zhe	E	O	O
不	d	bu	S	O	O
在	p	zai	S	O	O
病	n	bing	B	O	O
房	n	fang	E	O	O
，	x	，	S	O	O
未	t	wei	B	O	O
留	t	liu	I	O	O
下	t	xia	E	O	O
电	n	dian	B	O	O
话	n	hua	E	O	O
及	c	ji	B	O	O
其	c	qi	E	O	O
它	r	ta	S	O	O
具	a	ju	B	O	O
体	a	ti	E	O	O
联	l	lian	B	O	O
系	l	xi	I	O	O
方	l	fang	I	O	O
式	l	shi	E	O	O
。	x	。	S	O	O

患	n	huan	B	O	O
者	n	zhe	E	O	O
诉	n	su	B	O	O
右	f	you	I	O	O
季	n	ji	E	O	O
肋	n	lei	B	O	O
部	n	bu	E	O	O
，	x	，	S	O	O
右	f	you	S	O	O
背	f	bei	B	O	O
部	f	bu	E	O	O
疼	n	teng	B	SB	O
痛	n	tong	E	SE	O
明	a	ming	B	O	O
显	a	xian	E	O	O
减	v	jian	B	O	O
轻	v	qing	E	O	O
。	x	。	S	O	O
无	v	wu	S	O	O
胸	n	xiong	B	O	SB
闷	n	men	E	O	SI
气	n	qi	B	O	SI
短	n	duan	E	O	SE
。	x	。	S	O	O
无	v	wu	S	O	O
发	v	fa	B	SB	SB
热	v	re	E	SE	SE
。	x	。	S	O	O
偶	d	ou	B	O	O
有	v	you	E	O	O
咳	v	ke	B	SB	SB
嗽	v	sou	E	SE	SI
咳	v	ke	B	SB	SI
痰	v	tan	E	SE	SE
。	x	。	S	O	O
饮	n	yin	B	O	O
食	n	shi	E	O	O
及	c	ji	B	O	O
二	m	er	I	O	O
便	d	bian	E	O	O
正	d	zheng	B	O	O
常	d	chang	E	O	O
。	x	。	S	O	O
生	vn	sheng	B	O	O
命	vn	ming	E	O	O
体	n	ti	B	O	O
征	n	zheng	E	O	O
平	a	ping	B	O	O
稳	a	wen	E	O	O
，	x	，	S	O	O
结	n	jie	B	O	O
膜	n	mo	E	O	O
无	v	wu	S	O	O
苍	z	cang	B	O	O
白	z	bai	E	O	O
。	x	。	S	O	O
心	n	xin	B	O	O
率	n	lv	E	O	O
7	m	7	B	O	O
6	m	6	E	O	O
次	t	ci	S	O	O
/	x	/	S	O	O
分	v	fen	S	O	O
，	x	，	S	O	O
律	nr	lv	B	O	O
齐	a	qi	E	O	O
，	x	，	S	O	O
各	r	ge	S	O	O
瓣	n	ban	B	O	O
膜	n	mo	E	O	O
听	v	ting	B	O	O
诊	v	zhen	E	O	O
区	n	qu	S	O	O
未	n	wei	B	O	O
闻	n	wen	E	O	O
及	c	ji	S	O	O
杂	n	za	B	O	O
音	n	yin	E	O	O
。	x	。	S	O	O
腹	n	fu	B	O	O
部	n	bu	E	O	O
平	a	ping	B	O	O
坦	a	tan	E	O	O
，	x	，	S	O	O
未	d	wei	B	O	O
见	v	jian	E	O	O
胃	n	wei	B	O	O
肠	n	chang	E	O	O
型	k	xing	S	O	O
及	c	ji	S	O	O
蠕	v	ru	B	O	O
动	v	dong	E	O	O
波	j	bo	S	O	O
，	x	，	S	O	O
无	v	wu	S	O	O
腹	n	fu	B	O	O
壁	n	bi	E	O	O
静	l	jing	B	SB	SB
脉	l	mai	I	SI	SI
曲	l	qu	I	SI	SI
张	l	zhang	E	SE	SE
。	x	。	S	O	O
腹	n	fu	B	O	O
部	n	bu	E	O	O
未	d	wei	S	O	O
触	v	chu	B	O	O
及	v	ji	E	O	O
包	n	bao	B	SB	O
块	n	kuai	E	SE	O
。	x	。	S	O	O
叩	vg	kou	B	O	O
鼓	n	gu	I	O	O
音	n	yin	E	O	O
，	x	，	S	O	O
移	n	yi	B	O	O
动	n	dong	I	O	O
性	n	xing	E	O	O
浊	n	zhuo	B	O	O
音	n	yin	E	O	O
阴	n	yin	B	O	O
性	n	xing	E	O	O
。	x	。	S	O	O
肠	n	chang	S	O	O
鸣	n	ming	B	O	O
音	n	yin	E	O	O
正	d	zheng	B	O	O
常	d	chang	E	O	O
，	x	，	S	O	O
无	v	wu	S	O	O
亢	v	kang	B	O	O
进	v	jin	E	O	O
（	x	（	S	O	O
4	m	4	S	O	O
次	t	ci	S	O	O
/	x	/	S	O	O
分	v	fen	S	O	O
）	x	）	S	O	O
。	x	。	S	O	O
胸	n	xiong	B	O	O
廓	n	kuo	E	O	O
对	v	dui	B	O	O
称	v	cheng	E	O	O
无	v	wu	S	O	O
畸	n	ji	B	SB	SB
形	n	xing	E	SE	SE
，	x	，	S	O	O
胸	n	xiong	B	O	O
带	n	dai	E	O	O
固	a	gu	B	O	O
定	a	ding	E	O	O
好	a	hao	S	O	O
，	x	，	S	O	O
双	m	shuang	B	O	O
肺	n	fei	E	O	O
叩	vg	kou	B	O	O
音	n	yin	E	O	O
清	a	qing	S	O	O
，	x	，	S	O	O
双	m	shuang	B	O	O
肺	n	fei	E	O	O
呼	v	hu	B	O	O
吸	v	xi	E	O	O
音	n	yin	B	O	O
清	n	qing	E	O	O
，	x	，	S	O	O
未	n	wei	B	O	O
闻	n	wen	E	O	O
及	c	ji	S	O	O
干	a	gan	B	O	O
湿	a	shi	E	O	O
性	n	xing	B	O	O
罗	n	luo	I	O	O
音	n	yin	E	O	O
。	x	。	S	O	O
胸	n	xiong	B	O	O
部	n	bu	E	O	O
压	n	ya	B	O	O
痛	n	tong	E	O	O
，	x	，	S	O	O
未	d	wei	B	O	O
见	v	jian	E	O	O
皮	n	pi	B	O	O
肤	n	fu	E	O	O
红	n	hong	B	SB	SB
肿	n	zhong	E	SE	SE
，	x	，	S	O	O
胸	n	xiong	B	O	O
廓	n	kuo	E	O	O
挤	v	ji	B	O	O
压	v	ya	E	O	O
试	vn	shi	B	O	O
验	vn	yan	E	O	O
阳	n	yang	B	O	O
性	n	xing	E	O	O
。	x	。	S	O	O

患	n	huan	B	O	O
者	n	zhe	E	O	O
诉	vn	su	S	O	O
左	f	zuo	B	O	O
侧	f	ce	E	O	O
胸	n	xiong	B	O	O
痛	n	tong	E	SS	O
明	a	ming	B	O	O
显	a	xian	E	O	O
减	v	jian	B	O	O
轻	v	qing	E	O	O
，	x	，	S	O	O
咳	v	ke	B	SB	SB
嗽	v	sou	E	SE	SE
、	x	、	S	O	O
咳	v	ke	B	SB	SB
痰	v	tan	E	SE	SE
症	n	zheng	B	O	O
状	n	zhuang	E	O	O
消	n	xiao	B	O	O
失	n	shi	E	O	O
，	x	，	S	O	O
精	n	jing	B	O	O
神	n	shen	E	O	O
饮	n	yin	B	O	O
食	n	shi	E	O	O
睡	v	shui	B	O	O
眠	v	mian	E	O	O
可	v	ke	S	O	O
，	x	，	S	O	O
大	nr	da	B	O	O
小	nr	xiao	I	O	O
便	nr	bian	E	O	O
正	d	zheng	B	O	O
常	d	chang	E	O	O
。	x	。	S	O	O
查	nr	cha	B	O	O
体	nr	ti	E	O	O
：	x	：	S	O	O
头	n	tou	B	O	O
颅	n	lu	E	O	O
五	n	wu	B	O	O
官	n	guan	E	O	O
无	v	wu	S	O	O
畸	n	ji	B	SB	SB
形	n	xing	E	SE	SE
，	x	，	S	O	O
左	m	zuo	S	O	O
面	f	mian	B	O	O
部	f	bu	E	O	O
可	v	ke	B	O	O
见	v	jian	E	O	O
一	m	yi	S	O	O
4	m	4	B	O	O
X	eng	X	I	O	O
3	eng	3	I	O	O
c	eng	c	I	O	O
m	eng	m	E	O	O
皮	n	pi	B	O	O
肤	n	fu	E	O	O
挫	v	cuo	B	O	O
伤	v	shang	E	O	O
，	x	，	S	O	O
结	v	jie	B	O	O
痂	v	jia	E	O	O
脱	v	tuo	B	O	O
落	v	luo	E	O	O
，	x	，	S	O	O
愈	v	yu	B	O	O
合	v	he	E	O	O
良	a	liang	B	O	O
好	a	hao	E	O	O
。	x	。	S	O	O
颈	ng	jing	B	O	O
软	a	ruan	E	O	O
无	v	wu	S	O	O
抵	vn	di	B	O	O
抗	vn	kang	E	O	O
，	x	，	S	O	O
左	f	zuo	B	O	O
侧	f	ce	E	O	O
胸	n	xiong	B	O	O
部	n	bu	E	O	O
触	n	chu	B	O	O
痛	n	tong	E	O	O
明	a	ming	B	O	O
显	a	xian	E	O	O
，	x	，	S	O	O
双	m	shuang	B	O	O
肺	n	fei	E	O	O
呼	v	hu	B	O	O
吸	v	xi	E	O	O
音	n	yin	B	O	O
清	n	qing	E	O	O
，	x	，	S	O	O
腹	ng	fu	B	O	O
软	a	ruan	E	O	O
、	x	、	S	O	O
无	v	wu	S	O	O
压	n	ya	B	O	O
痛	n	tong	E	O	O
及	c	ji	S	O	O
肌	n	ji	S	O	O
紧	a	jin	B	O	O
张	a	zhang	E	O	O
，	x	，	S	O	O
肢	n	zhi	B	O	O
体	n	ti	E	O	O
未	i	wei	B	O	O
见	i	jian	I	O	O
异	i	yi	I	O	O
常	i	chang	E	O	O
。	x	。	S	O	O
复	vn	fu	B	O	O
查	vn	cha	E	O	O
胸	n	xiong	B	O	O
部	n	bu	E	O	O
C	eng	C	B	O	O
T	eng	T	E	O	O
回	v	hui	B	O	O
报	v	bao	E	O	O
：	x	：	S	O	O
双	m	shuang	B	O	O
肺	n	fei	E	O	O
间	n	jian	B	O	O
质	n	zhi	I	O	O
性	n	xing	E	O	O
改	v	gai	B	O	O
变	v	bian	E	O	O
、	x	、	S	O	O
纵	n	zong	B	O	O
膈	n	ge	E	O	O
淋	n	lin	B	O	O
巴	n	ba	I	O	O
结	n	jie	E	O	O
增	v	zeng	B	O	O
大	v	da	E	O	O
、	x	、	S	O	O
纵	n	zong	B	O	O
膈	n	ge	E	O	O
及	c	ji	S	O	O
左	f	zuo	S	O	O
肺	n	fei	B	O	O
门	n	men	E	O	O
钙	v	gai	B	O	O
化	v	hua	E	O	O
灶	n	zao	S	O	O
、	x	、	S	O	O
主	b	zhu	S	O	O
动	l	dong	B	O	O
脉	l	mai	I	O	O
硬	l	ying	I	O	O
化	l	hua	E	O	O
、	x	、	S	O	O
左	f	zuo	B	O	O
侧	f	ce	E	O	O
胸	n	xiong	B	O	O
腔	n	qiang	E	O	O
少	m	shao	B	O	O
量	m	liang	E	O	O
积	n	ji	B	O	O
液	n	ye	E	O	O
、	x	、	S	O	O
肋	n	lei	B	O	O
骨	n	gu	E	O	O
骨	n	gu	B	SB	SB
折	n	zhe	E	SE	SE
骨	ng	gu	B	O	O
痂	n	jia	E	O	O
生	j	sheng	B	O	O
长	j	chang	I	O	O
期	j	qi	E	O	O
。	x	。	S	O	O

1	x	1	S	O	O

患	n	huan	B	O	O
者	n	zhe	E	O	O
男	n	nan	S	O	O
5	m	5	B	O	O
3	m	3	E	O	O
岁	m	sui	S	O	O
2	m	2	S	O	O
.	m	.	S	O	O
既	t	ji	B	O	O
往	t	wang	E	O	O
体	n	ti	B	O	O
健	n	jian	E	O	O
。	x	。	S	O	O

3	x	3	S	O	O

缘	p	yuan	B	O	O
于	p	yu	E	O	O
2	x	2	S	O	O
小	n	xiao	B	O	O
时	n	shi	E	O	O
前	f	qian	S	O	O
患	n	huan	B	O	O
者	n	zhe	E	O	O
与	p	yu	S	O	O
人	n	ren	S	O	O
发	v	fa	B	O	O
生	v	sheng	E	O	O
口	n	kou	B	O	O
角	n	jiao	E	O	O
，	x	，	S	O	O
被	p	bei	S	O	O
多	m	duo	S	O	O
人	n	ren	S	O	O
拳	i	quan	B	O	O
打	i	da	I	O	O
脚	i	jiao	I	O	O
踢	i	ti	E	O	O
头	n	tou	B	O	O
部	n	bu	E	O	O
，	x	，	S	O	O
胸	n	xiong	B	O	O
部	n	bu	E	O	O
，	x	，	S	O	O
双	n	shuang	S	O	O
上	n	shang	B	O	O
肢	n	zhi	E	O	O
，	x	，	S	O	O
伤	v	shang	B	O	O
后	f	hou	E	O	O
伤	n	shang	B	O	O
处	n	chu	E	O	O
疼	n	teng	B	SB	SB
痛	n	tong	E	SE	SE
，	x	，	S	O	O
伴	v	ban	B	O	O
有	v	you	E	O	O
头	n	tou	B	SB	O
晕	n	yun	E	SE	O
，	x	，	S	O	O
左	nr	zuo	B	O	O
眉	nr	mei	I	O	O
弓	nr	gong	E	O	O
上	f	shang	S	O	O
皮	n	pi	B	O	O
肤	n	fu	E	O	O
裂	v	lie	B	O	O
伤	v	shang	E	O	O
有	v	you	S	O	O
少	m	shao	B	O	O
量	m	liang	E	O	O
血	n	xie	B	O	O
液	n	ye	E	O	O
流	v	liu	B	O	O
出	v	chu	E	O	O
。	x	。	S	O	O
无	v	wu	S	O	O
恶	n	e	B	SB	SB
心	n	xin	E	SE	SI
，	x	，	S	O	SI
呕	v	ou	B	SB	SI
吐	v	tu	E	SE	SE
，	x	，	S	O	O
无	l	wu	B	O	O
意	l	yi	I	O	O
识	l	shi	E	O	O
障	n	zhang	B	O	O
碍	n	ai	E	O	O
。	x	。	S	O	O
无	m	wu	B	O	O
二	m	er	I	O	O
便	d	bian	E	O	O
失	v	shi	B	O	O
禁	v	jin	E	O	O
。	x	。	S	O	O
当	t	dang	B	O	O
时	t	shi	E	O	O
未	v	wei	B	O	O
予	v	yu	E	O	O
任	r	ren	B	O	O
何	r	he	E	O	O
处	v	chu	B	O	O
置	v	zhi	E	O	O
。	x	。	S	O	O
呼	nr	hu	S	O	O
1	m	1	B	O	O
