b	b	O	O
常	chang	O	O
。	。	O	O
右	you	O	O
膝	xi	O	O
关	guan	O	O
节	jie	O	O
疼	teng	SB	SB
痛	tong	SE	SE
缓	huan	O	O
解	jie	O	O
。	。	O	O
查	cha	O	O
体	ti	O	O
：	：	O	O
神	shen	O	O
清	qing	O	O
，	，	O	O
心	xin	O	O
肺	fei	O	O
腹	fu	O	O
未	wei	O	O
见	jian	O	O
异	yi	O	O
常	chang	O	O
。	。	O	O
脊	ji	O	O
柱	zhu	O	O
无	wu	O	O
侧	ce	O	O
弯	wan	O	O
畸	ji	SB	SB
形	xing	SE	SE
，	，	O	O
右	you	O	O
膝	xi	O	O
关	guan	O	O
节	jie	O	O
活	huo	O	O
动	dong	O	O
范	fan	O	O
围	wei	O	O
可	ke	O	O
，	，	O	O
无	wu	O	O
红	hong	SB	SB
肿	zhong	SE	SE
，	，	O	O
无	wu	O	O
发	fa	SB	SB
热	re	SE	SE
，	，	O	O
右	you	O	O
膝	xi	O	O
浮	fu	O	O
髌	bin	O	O
试	shi	O	O
验	yan	O	O
阴	yin	O	O
性	xing	O	O
，	，	O	O
四	si	O	O
肢	zhi	O	O
肌	ji	O	O
力	li	O	O
肌	ji	O	O
张	zhang	O	O
力	li	O	O
正	zheng	O	O
常	chang	O	O
，	，	O	O
生	sheng	O	O
理	li	O	O
反	fan	O	O
射	she	O	O
正	zheng	O	O
常	chang	O	O
存	cun	O	O
在	zai	O	O
，	，	O	O
病	bing	O	O
理	li	O	O
反	fan	O	O
射	she	O	O
未	wei	O	O
引	yin	O	O
出	chu	O	O
。	。	O	O

查	cha	O	O
房	fang	O	O
时	shi	O	O
患	huan	O	O
者	zhe	O	O
不	bu	O	O
在	zai	O	O
病	bing	O	O
房	fang	O	O
，	，	O	O
未	wei	O	O
留	liu	O	O
下	xia	O	O
电	dian	O	O
话	hua	O	O
及	ji	O	O
其	qi	O	O
它	ta	O	O
具	ju	O	O
体	ti	O	O
联	lian	O	O
系	xi	O	O
方	fang	O	O
式	shi	O	O
。	。	O	O

患	huan	O	O
者	zhe	O	O
诉	su	O	O
右	you	O	O
季	ji	O	O
肋	lei	O	O
部	bu	O	O
，	，	O	O
右	you	O	O
背	bei	O	O
部	bu	O	O
疼	teng	SB	O
痛	tong	SE	O
明	ming	O	O
显	xian	O	O
减	jian	O	O
轻	qing	O	O
。	。	O	O
无	wu	O	O
胸	xiong	O	SB
闷	men	O	SI
气	qi	O	SI
短	duan	O	SE
。	。	O	O
无	wu	O	O
发	fa	SB	SB
热	re	SE	SE
。	。	O	O
偶	ou	O	O
有	you	O	O
咳	ke	SB	SB
嗽	sou	SE	SI
咳	ke	SB	SI
痰	tan	SE	SE
。	。	O	O
饮	yin	O	O
食	shi	O	O
及	ji	O	O
二	er	O	O
便	bian	O	O
正	zheng	O	O
常	chang	O	O
。	。	O	O
生	sheng	O	O
命	ming	O	O
体	ti	O	O
征	zheng	O	O
平	ping	O	O
稳	wen	O	O
，	，	O	O
结	jie	O	O
膜	mo	O	O
无	wu	O	O
苍	cang	O	O
白	bai	O	O
。	。	O	O
心	xin	O	O
率	lv	O	O
7	7	O	O
6	6	O	O
次	ci	O	O
/	/	O	O
分	fen	O	O
，	，	O	O
律	lv	O	O
齐	qi	O	O
，	，	O	O
各	ge	O	O
瓣	ban	O	O
膜	mo	O	O
听	ting	O	O
诊	zhen	O	O
区	qu	O	O
未	wei	O	O
闻	wen	O	O
及	ji	O	O
杂	za	O	O
音	yin	O	O
。	。	O	O
腹	fu	O	O
部	bu	O	O
平	ping	O	O
坦	tan	O	O
，	，	O	O
未	wei	O	O
见	jian	O	O
胃	wei	O	O
肠	chang	O	O
型	xing	O	O
及	ji	O	O
蠕	ru	O	O
动	dong	O	O
波	bo	O	O
，	，	O	O
无	wu	O	O
腹	fu	O	O
壁	bi	O	O
静	jing	SB	SB
脉	mai	SI	SI
曲	qu	SI	SI
张	zhang	SE	SE
。	。	O	O
腹	fu	O	O
部	bu	O	O
未	wei	O	O
触	chu	O	O
及	ji	O	O
包	bao	SB	O
块	kuai	SE	O
。	。	O	O
叩	kou	O	O
鼓	gu	O	O
音	yin	O	O
，	，	O	O
移	yi	O	O
动	dong	O	O
性	xing	O	O
浊	zhuo	O	O
音	yin	O	O
阴	yin	O	O
性	xing	O	O
。	。	O	O
肠	chang	O	O
鸣	ming	O	O
音	yin	O	O
正	zheng	O	O
常	chang	O	O
，	，	O	O
无	wu	O	O
亢	kang	O	O
进	jin	O	O
（	（	O	O
4	4	O	O
次	ci	O	O
/	/	O	O
分	fen	O	O
）	）	O	O
。	。	O	O
胸	xiong	O	O
廓	kuo	O	O
对	dui	O	O
称	cheng	O	O
无	wu	O	O
畸	ji	SB	SB
形	xing	SE	SE
，	，	O	O
胸	xiong	O	O
带	dai	O	O
固	gu	O	O
定	ding	O	O
好	hao	O	O
，	，	O	O
双	shuang	O	O
肺	fei	O	O
叩	kou	O	O
音	yin	O	O
清	qing	O	O
，	，	O	O
双	shuang	O	O
肺	fei	O	O
呼	hu	O	O
吸	xi	O	O
音	yin	O	O
清	qing	O	O
，	，	O	O
未	wei	O	O
闻	wen	O	O
及	ji	O	O
干	gan	O	O
湿	shi	O	O
性	xing	O	O
罗	luo	O	O
音	yin	O	O
。	。	O	O
胸	xiong	O	O
部	bu	O	O
压	ya	O	O
痛	tong	O	O
，	，	O	O
未	wei	O	O
见	jian	O	O
皮	pi	O	O
肤	fu	O	O
红	hong	SB	SB
肿	zhong	SE	SE
，	，	O	O
胸	xiong	O	O
廓	kuo	O	O
挤	ji	O	O
压	ya	O	O
试	shi	O	O
验	yan	O	O
阳	yang	O	O
性	xing	O	O
。	。	O	O

患	huan	O	O
者	zhe	O	O
诉	su	O	O
左	zuo	O	O
侧	ce	O	O
胸	xiong	O	O
痛	tong	SS	O
明	ming	O	O
显	xian	O	O
减	jian	O	O
轻	qing	O	O
，	，	O	O
咳	ke	SB	SB
嗽	sou	SE	SE
、	、	O	O
咳	ke	SB	SB
痰	tan	SE	SE
症	zheng	O	O
状	zhuang	O	O
消	xiao	O	O
失	shi	O	O
，	，	O	O
精	jing	O	O
神	shen	O	O
饮	yin	O	O
食	shi	O	O
睡	shui	O	O
眠	mian	O	O
可	ke	O	O
，	，	O	O
大	da	O	O
小	xiao	O	O
便	bian	O	O
正	zheng	O	O
常	chang	O	O
。	。	O	O
查	cha	O	O
体	ti	O	O
：	：	O	O
头	tou	O	O
颅	lu	O	O
五	wu	O	O
官	guan	O	O
无	wu	O	O
畸	ji	SB	SB
形	xing	SE	SE
，	，	O	O
左	zuo	O	O
面	mian	O	O
部	bu	O	O
可	ke	O	O
见	jian	O	O
一	yi	O	O
4	4	O	O
X	X	O	O
3	3	O	O
c	c	O	O
m	m	O	O
皮	pi	O	O
肤	fu	O	O
挫	cuo	O	O
伤	shang	O	O
，	，	O	O
结	jie	O	O
痂	jia	O	O
脱	tuo	O	O
落	luo	O	O
，	，	O	O
愈	yu	O	O
合	he	O	O
良	liang	O	O
好	hao	O	O
。	。	O	O
颈	jing	O	O
软	ruan	O	O
无	wu	O	O
抵	di	O	O
抗	kang	O	O
，	，	O	O
左	zuo	O	O
侧	ce	O	O
胸	xiong	O	O
部	bu	O	O
触	chu	O	O
痛	tong	O	O
明	ming	O	O
显	xian	O	O
，	，	O	O
双	shuang	O	O
肺	fei	O	O
呼	hu	O	O
吸	xi	O	O
音	yin	O	O
清	qing	O	O
，	，	O	O
腹	fu	O	O
软	ruan	O	O
、	、	O	O
无	wu	O	O
压	ya	O	O
痛	tong	O	O
及	ji	O	O
肌	ji	O	O
紧	jin	O	O
张	zhang	O	O
，	，	O	O
肢	zhi	O	O
体	ti	O	O
未	wei	O	O
见	jian	O	O
异	yi	O	O
常	chang	O	O
。	。	O	O
复	fu	O	O
查	cha	O	O
胸	xiong	O	O
部	bu	O	O
C	C	O	O
T	T	O	O
回	hui	O	O
报	bao	O	O
：	：	O	O
双	shuang	O	O
肺	fei	O	O
间	jian	O	O
质	zhi	O	O
性	xing	O	O
改	gai	O	O
变	bian	O	O
、	、	O	O
纵	zong	O	O
膈	ge	O	O
淋	lin	O	O
巴	ba	O	O
结	jie	O	O
增	zeng	O	O
大	da	O	O
、	、	O	O
纵	zong	O	O
膈	ge	O	O
及	ji	O	O
左	zuo	O	O
肺	fei	O	O
门	men	O	O
钙	gai	O	O
化	hua	O	O
灶	zao	O	O
、	、	O	O
主	zhu	O	O
动	dong	O	O
脉	mai	O	O
硬	ying	O	O
化	hua	O	O
、	、	O	O
左	zuo	O	O
侧	ce	O	O
胸	xiong	O	O
腔	qiang	O	O
少	shao	O	O
量	liang	O	O
积	ji	O	O
液	ye	O	O
、	、	O	O
肋	lei	O	O
骨	gu	O	O
骨	gu	SB	SB
折	zhe	SE	SE
骨	gu	O	O
痂	jia	O	O
生	sheng	O	O
长	chang	O	O
期	qi	O	O
。	。	O	O

1	1	O	O

患	huan	O	O
者	zhe	O	O
男	nan	O	O
5	5	O	O
3	3	O	O
岁	sui	O	O
2	2	O	O
.	.	O	O
既	ji	O	O
往	wang	O	O
体	ti	O	O
健	jian	O	O
。	。	O	O

3	3	O	O

缘	yuan	O	O
于	yu	O	O
2	2	O	O
小	xiao	O	O
时	shi	O	O
前	qian	O	O
患	huan	O	O
者	zhe	O	O
与	yu	O	O
人	ren	O	O
发	fa	O	O
生	sheng	O	O
口	kou	O	O
角	jiao	O	O
，	，	O	O
被	bei	O	O
多	duo	O	O
人	ren	O	O
拳	quan	O	O
打	da	O	O
脚	jiao	O	O
踢	ti	O	O
头	tou	O	O
部	bu	O	O
，	，	O	O
胸	xiong	O	O
部	bu	O	O
，	，	O	O
双	shuang	O	O
上	shang	O	O
肢	zhi	O	O
，	，	O	O
伤	shang	O	O
后	hou	O	O
伤	shang	O	O
处	chu	O	O
疼	teng	SB	SB
痛	tong	SE	SE
，	，	O	O
伴	ban	O	O
有	you	O	O
头	tou	SB	O
晕	yun	SE	O
，	，	O	O
左	zuo	O	O
眉	mei	O	O
弓	gong	O	O
上	shang	O	O
皮	pi	O	O
肤	fu	O	O
裂	lie	O	O
伤	shang	O	O
有	you	O	O
少	shao	O	O
量	liang	O	O
血	xie	O	O
液	ye	O	O
流	liu	O	O
出	chu	O	O
。	。	O	O
无	wu	O	O
恶	e	SB	SB
心	xin	SE	SE
，	，	O	O
呕	ou	SB	SB
吐	tu	SE	SE
，	，	O	O
无	wu	O	O
意	yi	O	O
识	shi	O	O
障	zhang	O	O
碍	ai	O	O
。	。	O	O
无	wu	O	O
二	er	O	O
便	bian	O	O
失	shi	O	O
禁	jin	O	O
。	。	O	O
当	dang	O	O
时	shi	O	O
未	wei	O	O
予	yu	O	O
任	ren	O	O
何	he	O	O
处	chu	O	O
置	zhi	O	O
。	。	O	O
呼	hu	O	O
1	1	O	O
2	2	O	O
0	0	O	O
接	jie	O	O
入	ru	O	O
我	wo	O	O
院	yuan	O	O
。	。	O	O
行	xing	O	O
C	C	O	O
T	T	O	O
检	jian	O	O
查	cha	O	O
回	hui	O	O
报	bao	O	O
：	：	O	O
头	tou	O	O
颅	lu	O	O
C	C	O	O
T	T	O	O
平	ping	O	O
扫	sao	O	O
未	wei	O	O
见	jian	O	O
异	yi	O	O
常	chang	O	O
,	,	O	O
眼	yan	O	O
眶	kuang	O	O
C	C	O	O
T	T	O	O
未	wei	O	O
见	jian	O	O
异	yi	O	O
常	chang	O	O
,	,	O	O
右	you	O	O
侧	ce	O	O
眼	yan	O	O
眶	kuang	O	O
外	wai	O	O
软	ruan	O	O
组	zu	O	O
织	zhi	O	O
肿	zhong	SB	SB
胀	zhang	SE	SE
，	，	O	O
给	gei	O	O
予	yu	O	O
清	qing	O	O
创	chuang	O	O
缝	feng	O	O
合	he	O	O
，	，	O	O
破	po	O	O
伤	shang	O	O
风	feng	O	O
抗	kang	O	O
毒	du	O	O
素	su	O	O
1	1	O	O
5	5	O	O
0	0	O	O
0	0	O	O
单	dan	O	O
位	wei	O	O
肌	ji	O	O
注	zhu	O	O
。	。	O	O
为	wei	O	O
进	jin	O	O
一	yi	O	O
步	bu	O	O
治	zhi	O	O
疗	liao	O	O
，	，	O	O
急	ji	O	O
诊	zhen	O	O
以	yi	O	O
左	zuo	DB	DB
眼	yan	DI	DI
眶	kuang	DI	DI
皮	pi	DI	DI
肤	fu	DI	DI
软	ruan	DI	DI
组	zu	DI	DI
织	zhi	DI	DI
裂	lie	DI	DI
伤	shang	DE	DI
多	duo	DB	DI
处	chu	DI	DI
软	ruan	DI	DI
组	zu	DI	DI
织	zhi	DI	DI
损	sun	DI	DI
伤	shang	DE	DI
头	tou	DB	DI
外	wai	DI	DI
伤	shang	DI	DI
后	hou	DI	DI
神	shen	DI	DI
经	jing	DI	DI
反	fan	DI	DI
应	ying	DE	DE
介	jie	O	O
绍	shao	O	O
入	ru	O	O
院	yuan	O	O
。	。	O	O
4	4	O	O
.	.	O	O
查	cha	O	O
体	ti	O	O
：	：	O	O
T	T	O	O
：	：	O	O
3	3	O	O
6	6	O	O
.	.	O	O
1	1	O	O
C	C	O	O
P	P	O	O
:	:	O	O
8	8	O	O
2	2	O	O
次	ci	O	O
/	/	O	O
分	fen	O	O
R	R	O	O
：	：	O	O
2	2	O	O
0	0	O	O
次	ci	O	O
/	/	O	O
分	fen	O	O
B	B	O	O
p	p	O	O
：	：	O	O
1	1	O	O
4	4	O	O
0	0	O	O
/	/	O	O
8	8	O	O
0	0	O	O
m	m	O	O
m	m	O	O
H	H	O	O
g	g	O	O
。	。	O	O
发	fa	O	O
育	yu	O	O
正	zheng	O	O
常	chang	O	O
，	，	O	O
营	ying	O	O
养	yang	O	O
中	zhong	O	O
等	deng	O	O
，	，	O	O
神	shen	O	O
志	zhi	O	O
清	qing	O	O
楚	chu	O	O
，	，	O	O
步	bu	O	O
入	ru	O	O
病	bing	O	O
房	fang	O	O
，	，	O	O
查	cha	O	O
体	ti	O	O
合	he	O	O
作	zuo	O	O
。	。	O	O
双	shuang	O	O
侧	ce	O	O
瞳	tong	O	O
孔	kong	O	O
正	zheng	O	O
大	da	O	O
等	deng	O	O
圆	yuan	O	O
，	，	O	O
对	dui	O	O
光	guang	O	O
反	fan	O	O
射	she	O	O
灵	ling	O	O
敏	min	O	O
。	。	O	O
颈	jing	SB	O
软	ruan	SE	O
，	，	O	O
无	wu	O	O
抵	di	O	O
抗	kang	O	O
。	。	O	O
气	qi	O	O
管	guan	O	O
居	ju	O	O
中	zhong	O	O
，	，	O	O
甲	jia	O	O
状	zhuang	O	O
腺	xian	O	O
无	wu	O	O
肿	zhong	SB	SB
大	da	SE	SE
。	。	O	O
胸	xiong	O	O
廓	kuo	O	O
对	dui	O	O
称	cheng	O	O
无	wu	O	O
畸	ji	SB	SB
形	xing	SE	SE
，	，	O	O
呼	hu	O	O
吸	xi	O	O
动	dong	O	O
度	du	O	O
两	liang	O	O
侧	ce	O	O
均	jun	O	O
匀	yun	O	O
等	deng	O	O
，	，	O	O
无	wu	O	O
增	zeng	O	O
强	qiang	O	O
及	ji	O	O
减	jian	O	O
弱	ruo	O	O
双	shuang	O	O
侧	ce	O	O
语	yu	O	O
颤	zhan	O	O
无	wu	O	O
增	zeng	O	O
强	qiang	O	O
及	ji	O	O
减	jian	O	O
弱	ruo	O	O
，	，	O	O
未	wei	O	O
触	chu	O	O
及	ji	O	O
皮	pi	O	O
下	xia	O	O
捻	nian	O	O
发	fa	O	O
音	yin	O	O
，	，	O	O
双	shuang	O	O
肺	fei	O	O
叩	kou	O	O
音	yin	O	O
清	qing	O	O
，	，	O	O
肺	fei	O	O
肝	gan	O	O
相	xiang	O	O
对	dui	O	O
浊	zhuo	O	O
音	yin	O	O
界	jie	O	O
位	wei	O	O
于	yu	O	O
右	you	O	O
侧	ce	O	O
锁	suo	O	O
骨	gu	O	O
中	zhong	O	O
线	xian	O	O
第	di	O	O
5	5	O	O
肋	lei	O	O
间	jian	O	O
，	，	O	O
双	shuang	O	O
肺	fei	O	O
呼	hu	O	O
吸	xi	O	O
音	yin	O	O
清	qing	O	O
，	，	O	O
未	wei	O	O
闻	wen	O	O
及	ji	O	O
干	gan	O	O
湿	shi	O	O
性	xing	O	O
罗	luo	O	O
音	yin	O	O
。	。	O	O
心	xin	O	O
前	qian	O	O
区	qu	O	O
无	wu	O	O
隆	long	SB	SB
起	qi	SE	SE
，	，	O	O
未	wei	O	O
触	chu	O	O
及	ji	O	O
震	zhen	O	O
颤	zhan	O	O
，	，	O	O
叩	kou	O	O
心	xin	O	O
界	jie	O	O
不	bu	O	O
大	da	O	O
，	，	O	O
心	xin	O	O
率	lv	O	O
8	8	O	O
2	2	O	O
次	ci	O	O
/	/	O	O
分	fen	O	O
，	，	O	O
律	lv	O	O
齐	qi	O	O
，	，	O	O
各	ge	O	O
瓣	ban	O	O
膜	mo	O	O
听	ting	O	O
诊	zhen	O	O
区	qu	O	O
未	wei	O	O
闻	wen	O	O
及	ji	O	O
杂	za	O	O
音	yin	O	O
。	。	O	O
腹	fu	O	O
部	bu	O	O
平	ping	O	O
坦	tan	O	O
，	，	O	O
未	wei	O	O
见	jian	O	O
胃	wei	O	O
肠	chang	O	O
型	xing	O	O
及	ji	O	O
蠕	ru	O	O
动	dong	O	O
波	bo	O	O
，	，	O	O
无	wu	O	O
腹	fu	O	O
壁	bi	O	O
静	jing	SB	SB
脉	mai	SI	SI
曲	qu	SI	SI
张	zhang	SE	SE
。	。	O	O
腹	fu	O	O
软	ruan	O	O
，	，	O	O
肝	gan	O	O
脾	pi	O	O
未	wei	O	O
触	chu	O	O
及	ji	O	O
肿	zhong	SB	SB
大	da	SE	SE
，	，	O	O
腹	fu	O	O
部	bu	O	O
无	wu	O	O
压	ya	O	O
痛	tong	O	O
，	，	O	O
无	wu	O	O
反	fan	O	O
跳	tiao	O	O
痛	tong	O	O
及	ji	O	O
肌	ji	O	O
紧	jin	O	O
张	zhang	O	O
。	。	O	O
腹	fu	O	O
部	bu	O	O
未	wei	O	O
触	chu	O	O
及	ji	O	O
包	bao	O	O
块	kuai	O	O
。	。	O	O
叩	kou	O	O
鼓	gu	O	O
音	yin	O	O
，	，	O	O
移	yi	O	O
动	dong	O	O
性	xing	O	O
浊	zhuo	O	O
音	yin	O	O
阴	yin	O	O
性	xing	O	O
。	。	O	O
肠	chang	O	O
鸣	ming	O	O
音	yin	O	O
正	zheng	O	O
常	chang	O	O
，	，	O	O
无	wu	O	O
亢	kang	O	O
进	jin	O	O
（	（	O	O
4	4	O	O
次	ci	O	O
/	/	O	O
分	fen	O	O
）	）	O	O
。	。	O	O
双	shuang	O	O
侧	ce	O	O
肋	lei	O	O
脊	ji	O	O
角	jiao	O	O
对	dui	O	O
称	cheng	O	O
无	wu	O	O
隆	long	SB	SB
起	qi	SE	SE
，	，	O	O
双	shuang	O	O
肾	shen	O	O
区	qu	O	O
无	wu	O	O
叩	kou	O	O
击	ji	O	O
痛	tong	O	O
，	，	O	O
未	wei	O	O
触	chu	O	O
及	ji	O	O
肿	zhong	SB	SB
块	kuai	SE	SE
。	。	O	O
腹	fu	O	O
部	bu	O	O
沿	yan	O	O
输	shu	O	O
尿	niao	O	O
管	guan	O	O
走	zou	O	O
形	xing	O	O
无	wu	O	O
压	ya	O	O
痛	tong	O	O
，	，	O	O
耻	chi	O	O
骨	gu	O	O
上	shang	O	O
膀	bang	O	O
胱	guang	O	O
区	qu	O	O
无	wu	O	O
肿	zhong	SB	SB
胀	zhang	SE	SE
，	，	O	O
无	wu	O	O
压	ya	O	O
痛	tong	O	O
。	。	O	O
阴	yin	O	O
茎	jing	O	O
为	wei	O	O
成	cheng	O	O
人	ren	O	O
型	xing	O	O
，	，	O	O
尿	niao	O	O
道	dao	O	O
外	wai	O	O
口	kou	O	O
无	wu	O	O
畸	ji	SB	SB
形	xing	SE	SE
，	，	O	O
无	wu	O	O
红	hong	SB	SB
肿	zhong	SE	SE
及	ji	O	O
狭	xia	SB	SB
窄	zhai	SE	SE
，	，	O	O
无	wu	O	O
异	yi	O	O
常	chang	O	O
分	fen	O	O
泌	mi	O	O
物	wu	O	O
。	。	O	O
两	liang	O	O
侧	ce	O	O
阴	yin	O	O
囊	nang	O	O
对	dui	O	O
称	cheng	O	O
，	，	O	O
无	wu	O	O
触	chu	O	O
痛	tong	O	O
，	，	O	O
双	shuang	O	O
侧	ce	O	O
睾	gao	O	O
丸	wan	O	O
对	dui	O	O
称	cheng	O	O
，	，	O	O
质	zhi	O	O
地	di	O	O
中	zhong	O	O
等	deng	O	O
，	，	O	O
无	wu	O	O
触	chu	O	O
痛	tong	O	O
。	。	O	O
双	shuang	O	O
侧	ce	O	O
附	fu	O	O
睾	gao	O	O
未	wei	O	O
触	chu	O	O
及	ji	O	O
结	jie	O	O
节	jie	O	O
。	。	O	O
脊	ji	O	O
柱	zhu	O	O
四	si	O	O
肢	zhi	O	O
无	wu	O	O
畸	ji	O	SB
形	xing	O	SE
，	，	O	O
活	huo	O	O
动	dong	O	O
自	zi	O	O
如	ru	O	O
。	。	O	O
四	si	O	O
肢	zhi	O	O
肌	ji	O	O
力	li	O	O
，	，	O	O
肌	ji	O	O
张	zhang	O	O
力	li	O	O
正	zheng	O	O
常	chang	O	O
。	。	O	O
双	shuang	O	O
侧	ce	O	O
肱	gong	O	O
二	er	O	O
三	san	O	O
头	tou	O	O
肌	ji	O	O
及	ji	O	O
跟	gen	O	O
膝	xi	O	O
腱	jian	O	O
反	fan	O	O
射	she	O	O
正	zheng	O	O
常	chang	O	O
存	cun	O	O
在	zai	O	O
，	，	O	O
双	shuang	O	O
侧	ce	O	O
B	B	O	O
a	a	O	O
b	b	O	O
i	i	O	O
n	n	O	O
s	s	O	O
k	k	O	O
i	i	O	O
征	zheng	O	O
及	ji	O	O
克	ke	O	O
氏	shi	O	O
症	zheng	O	O
均	jun	O	O
阴	yin	O	O
性	xing	O	O
。	。	O	O
5	5	O	O

专	zhuan	O	O
科	ke	O	O
情	qing	O	O
况	kuang	O	O
：	：	O	O
头	tou	O	O
颅	lu	O	O
五	wu	O	O
官	guan	O	O
无	wu	O	O
畸	ji	O	SB
形	xing	O	SE
，	，	O	O
左	zuo	O	O
眉	mei	O	O
弓	gong	O	O
上	shang	O	O
方	fang	O	O
可	ke	O	O
见	jian	O	O
一	yi	O	O
横	heng	O	O
行	xing	O	O
裂	lie	O	O
口	kou	O	O
已	yi	O	O
缝	feng	O	O
合	he	O	O
。	。	O	O
旁	pang	O	O
边	bian	O	O
可	ke	O	O
见	jian	O	O
一	yi	O	O
擦	ca	O	O
伤	shang	O	O
，	，	O	O
约	yue	O	O
1	1	O	O
.	.	O	O
0	0	O	O
㎝	㎝	O	O
*	*	O	O
1	1	O	O
.	.	O	O
0	0	O	O
㎝	㎝	O	O
大	da	O	O
小	xiao	O	O
。	。	O	O
右	you	O	O
眼	yan	O	O
下	xia	O	O
方	fang	O	O
可	ke	O	O
见	jian	O	O
青	qing	SB	SB
紫	zi	SI	SI
肿	zhong	SI	SI
胀	zhang	SE	SE
，	，	O	O
面	mian	O	O
积	ji	O	O
约	yue	O	O
4	4	O	O
.	.	O	O
0	0	O	O
㎝	㎝	O	O
*	*	O	O
3	3	O	O
.	.	O	O
0	0	O	O
㎝	㎝	O	O
大	da	O	O
小	xiao	O	O
。	。	O	O
左	zuo	O	O
耳	er	O	O
前	qian	O	O
方	fang	O	O
可	ke	O	O
见	jian	O	O
一	yi	O	O
擦	ca	O	O
伤	shang	O	O
，	，	O	O
面	mian	O	O
积	ji	O	O
约	yue	O	O
1	1	O	O
.	.	O	O
0	0	O	O
㎝	㎝	O	O
*	*	O	O
0	0	O	O
.	.	O	O
5	5	O	O
㎝	㎝	O	O
大	da	O	O
小	xiao	O	O
。	。	O	O
双	shuang	O	O
上	shang	O	O
臂	bi	O	O
肿	zhong	SB	SB
胀	zhang	SE	SE
均	jun	O	O
不	bu	O	O
明	ming	O	O
显	xian	O	O
，	，	O	O
局	ju	O	O
部	bu	O	O
触	chu	O	O
痛	tong	O	O
。	。	O	O
无	wu	O	O
畸	ji	SB	SB
形	xing	SE	SE
，	，	O	O
活	huo	O	O
动	dong	O	O
自	zi	O	O
如	ru	O	O
。	。	O	O
6	6	O	O

辅	fu	O	O
助	zhu	O	O
检	jian	O	O
查	cha	O	O
：	：	O	O
C	C	O	O
T	T	O	O
检	jian	O	O
查	cha	O	O
回	hui	O	O
报	bao	O	O
：	：	O	O
头	tou	O	O
颅	lu	O	O
C	C	O	O
T	T	O	O
平	ping	O	O
扫	sao	O	O
未	wei	O	O
见	jian	O	O
异	yi	O	O
常	chang	O	O
,	,	O	O
眼	yan	O	O
眶	kuang	O	O
C	C	O	O
T	T	O	O
未	wei	O	O
见	jian	O	O
异	yi	O	O
常	chang	O	O
,	,	O	O
右	you	O	O
侧	ce	O	O
眼	yan	O	O
眶	kuang	O	O
外	wai	O	O
软	ruan	O	O
组	zu	O	O
织	zhi	O	O
肿	zhong	SB	O
胀	zhang	SE	O
。	。	O	O

1	1	O	O
.	.	O	O
老	lao	O	O
年	nian	O	O
男	nan	O	O
性	xing	O	O
，	，	O	O
既	ji	O	O
往	wang	O	O
有	you	O	O
糖	tang	DB	DB
尿	niao	DI	DI
病	bing	DE	DE
6	6	O	O
年	nian	O	O
，	，	O	O
冠	guan	DB	O
心	xin	DI	O
病	bing	DE	O
史	shi	O	O
2	2	O	O
0	0	O	O
余	yu	O	O
年	nian	O	O
，	，	O	O
否	fou	O	O
认	ren	O	O
传	chuan	O	O
染	ran	O	O
病	bing	O	O
史	shi	O	O
，	，	O	O
对	dui	O	O
磺	huang	O	O
胺	an	O	O
类	lei	O	O
药	yao	O	O
物	wu	O	O
过	guo	O	O
敏	min	O	O
。	。	O	O
年	nian	O	O
前	qian	O	O
左	zuo	O	O
下	xia	O	O
肢	zhi	O	O
外	wai	O	O
伤	shang	O	O
后	hou	O	O
行	xing	O	O
左	zuo	O	O
大	da	O	O
腿	tui	O	O
中	zhong	O	O
下	xia	O	O
段	duan	O	O
截	jie	O	O
肢	zhi	O	O
手	shou	O	O
术	shu	O	O
，	，	O	O
有	you	O	O
输	shu	O	O
血	xie	O	O
史	shi	O	O
。	。	O	O
2	2	O	O
.	.	O	O
缘	yuan	O	O
于	yu	O	O
5	5	O	O
小	xiao	O	O
时	shi	O	O
前	qian	O	O
和	he	O	O
他	ta	O	O
人	ren	O	O
发	fa	O	O
生	sheng	O	O
口	kou	O	O
角	jiao	O	O
后	hou	O	O
，	，	O	O
被	bei	O	O
人	ren	O	O
用	yong	O	O
刀	dao	O	O
扎	zha	O	O
伤	shang	O	O
右	you	O	O
侧	ce	O	O
胸	xiong	O	O
部	bu	O	O
，	，	O	O
伤	shang	O	O
后	hou	O	O
胸	xiong	O	O
部	bu	O	O
出	chu	O	SB
血	xie	O	SE
，	，	O	O
胸	xiong	SB	SB
痛	tong	SE	SE
伴	ban	O	O
胸	xiong	SB	SB
闷	men	SE	SI
气	qi	SB	SI
短	duan	SE	SE
，	，	O	O
无	wu	O	O
呼	hu	SB	O
吸	xi	SI	O
困	kun	SI	O
难	nan	SE	O
，	，	O	O
无	wu	O	O
腹	fu	SB	SB
痛	tong	SE	SE
及	ji	O	O
腹	fu	SB	SB
胀	zhang	SE	SE
，	，	O	O
伤	shang	O	O
后	hou	O	O
来	lai	O	O
我	wo	O	O
院	yuan	O	O
行	xing	O	O
胸	xiong	O	O
部	bu	O	O
正	zheng	O	O
位	wei	O	O
D	D	O	O
R	R	O	O
片	pian	O	O
检	jian	O	O
查	cha	O	O
：	：	O	O
未	wei	O	O
见	jian	O	O
异	yi	O	O
常	chang	O	O
。	。	O	O
给	gei	O	O
予	yu	O	O
胸	xiong	O	O
