b	b	B	O	O
双	shuang	B	O	O
侧	ce	E	O	O
语	yu	S	O	O
颤	zhan	S	O	O
无	wu	S	O	O
增	zeng	B	O	O
强	qiang	E	O	O
及	ji	S	O	O
减	jian	B	O	O
弱	ruo	E	O	O
，	，	S	O	O
未	wei	S	O	O
触	chu	B	O	O
及	ji	E	O	O
皮	pi	B	O	O
下	xia	E	O	O
捻	nian	S	O	O
发	fa	B	O	O
音	yin	E	O	O
，	，	S	O	O
双	shuang	B	O	O
肺	fei	E	O	O
叩	kou	B	O	O
音	yin	E	O	O
清	qing	S	O	O
，	，	S	O	O
肺	fei	B	O	O
肝	gan	E	O	O
相	xiang	B	O	O
对	dui	E	O	O
浊	zhuo	B	O	O
音	yin	E	O	O
界	jie	S	O	O
位	wei	B	O	O
于	yu	E	O	O
右	you	B	O	O
侧	ce	E	O	O
锁	suo	B	O	O
骨	gu	E	O	O
中	zhong	B	O	O
线	xian	E	O	O
第	di	S	O	O
Ⅴ	Ⅴ	S	O	O
肋	lei	B	O	O
间	jian	E	O	O
，	，	S	O	O
双	shuang	B	O	O
肺	fei	E	O	O
呼	hu	B	O	O
吸	xi	E	O	O
音	yin	B	O	O
清	qing	E	O	O
，	，	S	O	O
未	wei	B	O	O
闻	wen	E	O	O
及	ji	S	O	O
干	gan	B	O	O
湿	shi	E	O	O
性	xing	B	O	O
罗	luo	I	O	O
音	yin	E	O	O
。	。	S	O	O
心	xin	B	O	O
前	qian	E	O	O
区	qu	S	O	O
无	wu	S	O	O
隆	long	B	SB	SB
起	qi	E	SE	SE
，	，	S	O	O
未	wei	S	O	O
触	chu	B	O	O
及	ji	E	O	O
震	zhen	B	O	O
颤	zhan	E	O	O
，	，	S	O	O
叩	kou	B	O	O
心	xin	I	O	O
界	jie	E	O	O
不	bu	B	O	O
大	da	E	O	O
，	，	S	O	O
心	xin	B	O	O
率	lv	E	O	O
8	8	B	O	O
2	2	E	O	O
次	ci	S	O	O
/	/	S	O	O
分	fen	S	O	O
，	，	S	O	O
律	lv	B	O	O
齐	qi	E	O	O
，	，	S	O	O
各	ge	S	O	O
瓣	ban	B	O	O
膜	mo	E	O	O
听	ting	B	O	O
诊	zhen	E	O	O
区	qu	S	O	O
未	wei	B	O	O
闻	wen	E	O	O
及	ji	S	O	O
杂	za	B	O	O
音	yin	E	O	O
。	。	S	O	O
腹	fu	B	O	O
部	bu	E	O	O
平	ping	B	O	O
坦	tan	E	O	O
，	，	S	O	O
未	wei	B	O	O
见	jian	E	O	O
胃	wei	B	O	O
肠	chang	E	O	O
型	xing	S	O	O
及	ji	S	O	O
蠕	ru	B	O	O
动	dong	E	O	O
波	bo	S	O	O
，	，	S	O	O
无	wu	S	O	O
腹	fu	B	O	O
壁	bi	E	O	O
静	jing	B	SB	SB
脉	mai	I	SI	SI
曲	qu	I	SI	SI
张	zhang	E	SE	SE
。	。	S	O	O
腹	fu	B	O	O
软	ruan	E	O	O
，	，	S	O	O
肝	gan	B	O	O
脾	pi	I	O	O
未	wei	E	O	O
触	chu	B	O	O
及	ji	E	O	O
肿	zhong	B	SB	SB
大	da	E	SE	SE
，	，	S	O	O
腹	fu	B	O	O
部	bu	E	O	O
无	wu	S	O	O
压	ya	B	O	O
痛	tong	E	O	O
，	，	S	O	O
无	wu	B	O	O
反	fan	E	O	O
跳	tiao	S	O	O
痛	tong	B	O	O
及	ji	E	O	O
肌	ji	S	O	O
紧	jin	B	O	O
张	zhang	E	O	O
。	。	S	O	O
腹	fu	B	O	O
部	bu	E	O	O
未	wei	S	O	O
触	chu	B	O	O
及	ji	E	O	O
包	bao	B	SB	O
块	kuai	E	SE	O
。	。	S	O	O
叩	kou	B	O	O
鼓	gu	I	O	O
音	yin	E	O	O
，	，	S	O	O
移	yi	B	O	O
动	dong	I	O	O
性	xing	E	O	O
浊	zhuo	B	O	O
音	yin	E	O	O
阴	yin	B	O	O
性	xing	E	O	O
。	。	S	O	O
肠	chang	S	O	O
鸣	ming	B	O	O
音	yin	E	O	O
正	zheng	B	O	O
常	chang	E	O	O
，	，	S	O	O
无	wu	S	O	O
亢	kang	B	O	O
进	jin	E	O	O
（	（	S	O	O
4	4	S	O	O
次	ci	S	O	O
/	/	S	O	O
分	fen	S	O	O
）	）	S	O	O
。	。	S	O	O
脊	ji	B	O	O
柱	zhu	E	O	O
无	wu	S	O	O
畸	ji	B	SB	SB
形	xing	E	SE	SE
，	，	S	O	O
活	huo	B	O	O
动	dong	E	O	O
无	wu	B	O	O
障	zhang	I	O	O
碍	ai	E	O	O
，	，	S	O	O
各	ge	S	O	O
椎	zhui	B	O	O
体	ti	E	O	O
无	wu	S	O	O
压	ya	B	O	O
痛	tong	E	O	O
、	、	S	O	O
叩	kou	B	O	O
击	ji	E	O	O
痛	tong	S	O	O
。	。	S	O	O
四	si	B	O	O
肢	zhi	E	O	O
关	guan	B	O	O
节	jie	E	O	O
无	wu	S	O	O
畸	ji	B	SB	SB
形	xing	E	SE	SE
。	。	S	O	O
双	shuang	B	O	O
下	xia	I	O	O
肢	zhi	E	O	O
无	wu	S	O	O
水	shui	B	O	SB
肿	zhong	E	O	SE
。	。	S	O	O
双	shuang	S	O	O
上	shang	B	O	O
肢	zhi	E	O	O
肌	ji	B	O	O
力	li	E	O	O
4	4	S	O	O
-	-	S	O	O
级	ji	S	O	O
，	，	S	O	O
上	shang	B	O	O
下	xia	I	O	O
肢	zhi	E	O	O
肢	zhi	S	O	O
肌	ji	B	O	O
力	li	E	O	O
1	1	S	O	O
级	ji	S	O	O
；	；	S	O	O
双	shuang	B	O	O
侧	ce	E	O	O
肱	gong	S	O	O
二	er	B	O	O
三	san	E	O	O
头	tou	S	O	O
肌	ji	B	O	O
及	ji	E	O	O
跟	gen	S	O	O
膝	xi	B	O	O
腱	jian	E	O	O
反	fan	B	O	O
射	she	E	O	O
正	zheng	B	O	O
常	chang	E	O	O
存	cun	B	O	O
在	zai	E	O	O
，	，	S	O	O
双	shuang	B	O	O
侧	ce	E	O	O
巴	ba	B	O	O
氏	shi	E	O	O
征	zheng	S	O	O
阴	yin	B	O	O
性	xing	E	O	O
。	。	S	O	O
右	you	B	O	O
侧	ce	E	O	O
侧	ce	S	O	O
臀	tun	B	O	O
部	bu	E	O	O
可	ke	S	O	O
见	jian	B	O	O
长	chang	E	O	O
约	yue	S	O	O
6	6	B	O	O
c	c	I	O	O
m	m	E	O	O
手	shou	B	O	O
术	shu	E	O	O
瘢	ban	B	O	O
痕	hen	E	O	O
，	，	S	O	O
右	you	B	O	O
侧	ce	E	O	O
膝	xi	B	O	O
盖	gai	E	O	O
上	shang	S	O	O
1	1	B	O	O
0	0	I	O	O
c	c	I	O	O
m	m	E	O	O
、	、	S	O	O
1	1	B	O	O
5	5	I	O	O
c	c	I	O	O
m	m	E	O	O
分	fen	B	O	O
别	bie	E	O	O
可	ke	S	O	O
见	jian	B	O	O
长	chang	E	O	O
约	yue	S	O	O
5	5	B	O	O
c	c	I	O	O
m	m	E	O	O
手	shou	B	O	O
术	shu	E	O	O
瘢	ban	B	O	O
痕	hen	E	O	O
，	，	S	O	O
右	you	B	O	O
踝	huai	E	O	O
部	bu	S	O	O
可	ke	B	O	O
见	jian	E	O	O
1	1	S	O	O
*	*	S	O	O
3	3	B	O	O
c	c	I	O	O
m	m	E	O	O
皮	pi	B	O	O
肤	fu	E	O	O
创	chuang	B	O	O
面	mian	E	O	O
，	，	S	O	O
已	yi	S	O	O
结	jie	B	O	O
痂	jia	E	O	O
，	，	S	O	O
左	zuo	S	O	O
膝	xi	B	O	O
下	xia	E	O	O
方	fang	S	O	O
可	ke	B	O	O
见	jian	E	O	O
2	2	S	O	O
*	*	S	O	O
3	3	B	O	O
c	c	I	O	O
m	m	E	O	O
皮	pi	B	O	O
肤	fu	E	O	O
创	chuang	B	O	O
面	mian	E	O	O
，	，	S	O	O
已	yi	S	O	O
结	jie	B	O	O
痂	jia	E	O	O
，	，	S	O	O
左	zuo	B	O	O
踝	huai	E	O	O
可	ke	B	O	O
见	jian	E	O	O
1	1	B	O	O
.	.	I	O	O
5	5	E	O	O
*	*	S	O	O
8	8	B	O	O
c	c	I	O	O
m	m	E	O	O
皮	pi	B	O	O
肤	fu	E	O	O
创	chuang	B	O	O
面	mian	E	O	O
，	，	S	O	O
已	yi	S	O	O
结	jie	B	O	O
痂	jia	E	O	O
。	。	S	O	O

患	huan	B	O	O
者	zhe	E	O	O
诉	su	S	O	O
胸	xiong	B	O	O
部	bu	E	O	O
偶	ou	B	O	O
有	you	E	O	O
疼	teng	B	SB	SB
痛	tong	E	SE	SE
，	，	S	O	O
无	wu	S	O	O
胸	xiong	B	O	SB
闷	men	E	O	SE
，	，	S	O	O
憋	bie	B	O	SB
气	qi	E	O	SE
。	。	S	O	O
无	wu	S	O	O
发	fa	B	SB	SB
热	re	E	SE	SE
。	。	S	O	O
饮	yin	B	O	O
食	shi	E	O	O
及	ji	B	O	O
二	er	I	O	O
便	bian	E	O	O
正	zheng	B	O	O
常	chang	E	O	O
。	。	S	O	O
查	cha	B	O	O
体	ti	E	O	O
：	：	S	O	O
T	T	S	O	O
：	：	S	O	O
3	3	B	O	O
6	6	I	O	O
.	.	I	O	O
4	4	E	O	O
℃	℃	S	O	O
，	，	S	O	O
胸	xiong	B	O	O
廓	kuo	E	O	O
对	dui	B	O	O
称	cheng	E	O	O
无	wu	S	O	O
畸	ji	B	SB	SB
形	xing	E	SE	SE
，	，	S	O	O
左	zuo	B	O	O
侧	ce	E	O	O
胸	xiong	B	O	O
部	bu	E	O	O
无	wu	S	O	O
肿	zhong	B	SB	SB
胀	zhang	E	SE	SE
，	，	S	O	O
局	ju	B	O	O
部	bu	E	O	O
触	chu	B	O	O
痛	tong	E	O	O
。	。	S	O	O
呼	hu	B	O	O
吸	xi	E	O	O
动	dong	B	O	O
度	du	E	O	O
两	liang	B	O	O
侧	ce	E	O	O
均	jun	B	O	O
匀	yun	E	O	O
等	deng	S	O	O
，	，	S	O	O
无	wu	S	O	O
增	zeng	B	O	O
强	qiang	E	O	O
及	ji	S	O	O
减	jian	B	O	O
弱	ruo	E	O	O
双	shuang	B	O	O
侧	ce	E	O	O
语	yu	S	O	O
颤	zhan	S	O	O
无	wu	S	O	O
增	zeng	B	O	O
强	qiang	E	O	O
及	ji	S	O	O
减	jian	B	O	O
弱	ruo	E	O	O
，	，	S	O	O
未	wei	S	O	O
触	chu	B	O	O
及	ji	E	O	O
皮	pi	B	O	O
下	xia	E	O	O
捻	nian	S	O	O
发	fa	B	O	O
音	yin	E	O	O
，	，	S	O	O
双	shuang	B	O	O
肺	fei	E	O	O
叩	kou	B	O	O
音	yin	E	O	O
清	qing	S	O	O
，	，	S	O	O
肺	fei	B	O	O
肝	gan	E	O	O
相	xiang	B	O	O
对	dui	E	O	O
浊	zhuo	B	O	O
音	yin	E	O	O
界	jie	S	O	O
位	wei	B	O	O
于	yu	E	O	O
右	you	B	O	O
侧	ce	E	O	O
锁	suo	B	O	O
骨	gu	E	O	O
中	zhong	B	O	O
线	xian	E	O	O
第	di	S	O	O
5	5	S	O	O
肋	lei	B	O	O
间	jian	E	O	O
，	，	S	O	O
双	shuang	B	O	O
肺	fei	E	O	O
呼	hu	B	O	O
吸	xi	E	O	O
音	yin	B	O	O
清	qing	E	O	O
，	，	S	O	O
未	wei	B	O	O
闻	wen	E	O	O
及	ji	S	O	O
干	gan	B	O	O
湿	shi	E	O	O
性	xing	B	O	O
罗	luo	I	O	O
音	yin	E	O	O
。	。	S	O	O
心	xin	B	O	O
脏	zang	E	O	O
检	jian	B	O	O
查	cha	E	O	O
未	wei	B	O	O
闻	wen	E	O	O
及	ji	S	O	O
异	yi	B	O	O
常	chang	E	O	O
，	，	S	O	O
腹	fu	B	O	O
部	bu	E	O	O
平	ping	B	O	O
坦	tan	E	O	O
，	，	S	O	O
未	wei	B	O	O
见	jian	E	O	O
胃	wei	B	O	O
肠	chang	E	O	O
型	xing	S	O	O
及	ji	S	O	O
蠕	ru	B	O	O
动	dong	E	O	O
波	bo	S	O	O
，	，	S	O	O
无	wu	S	O	O
腹	fu	B	O	O
壁	bi	E	O	O
静	jing	B	SB	SB
脉	mai	I	SI	SI
曲	qu	I	SI	SI
张	zhang	E	SE	SE
。	。	S	O	O
无	wu	S	O	O
压	ya	B	O	O
痛	tong	E	O	O
，	，	S	O	O
反	fan	B	O	O
跳	tiao	E	O	O
痛	tong	B	O	O
及	ji	E	O	O
肌	ji	S	O	O
紧	jin	B	O	O
张	zhang	E	O	O
。	。	S	O	O
腹	fu	B	O	O
部	bu	E	O	O
未	wei	S	O	O
触	chu	B	O	O
及	ji	E	O	O
包	bao	B	O	O
块	kuai	E	O	O
。	。	S	O	O
叩	kou	B	O	O
鼓	gu	I	O	O
音	yin	E	O	O
。	。	S	O	O
肠	chang	S	O	O
鸣	ming	B	O	O
音	yin	E	O	O
正	zheng	B	O	O
常	chang	E	O	O
，	，	S	O	O
无	wu	S	O	O
亢	kang	B	O	O
进	jin	E	O	O
（	（	S	O	O
4	4	S	O	O
次	ci	S	O	O
/	/	S	O	O
分	fen	S	O	O
）	）	S	O	O
。	。	S	O	O
双	shuang	B	O	O
侧	ce	E	O	O
肋	lei	S	O	O
脊	ji	B	O	O
角	jiao	E	O	O
对	dui	B	O	O
称	cheng	E	O	O
无	wu	S	O	O
隆	long	B	SB	SB
起	qi	E	SE	SE
，	，	S	O	O
双	shuang	S	O	O
肾	shen	B	O	O
区	qu	E	O	O
无	wu	S	O	O
叩	kou	B	O	O
击	ji	E	O	O
痛	tong	S	O	O
，	，	S	O	O
未	wei	S	O	O
触	chu	B	O	O
及	ji	E	O	O
肿	zhong	B	O	SB
块	kuai	E	O	SE
。	。	S	O	O
耻	chi	B	O	O
骨	gu	E	O	O
上	shang	S	O	O
膀	bang	B	O	O
胱	guang	E	O	O
区	qu	S	O	O
无	wu	S	O	O
肿	zhong	B	SB	SB
胀	zhang	E	SE	SE
，	，	S	O	O
压	ya	B	O	O
痛	tong	E	O	O
。	。	S	O	O

患	huan	B	O	O
者	zhe	E	O	O
精	jing	B	O	O
神	shen	E	O	O
状	zhuang	B	O	O
况	kuang	E	O	O
可	ke	S	O	O
，	，	S	O	O
无	wu	S	O	O
发	fa	B	SB	SB
热	re	E	SE	SE
，	，	S	O	O
诉	su	S	O	O
上	shang	B	O	O
唇	chun	E	O	O
疼	teng	B	SB	SB
痛	tong	E	SE	SE
减	jian	B	O	O
轻	qing	E	O	O
明	ming	B	O	O
显	xian	E	O	O
，	，	S	O	O
睡	shui	B	O	O
眠	mian	E	O	O
可	ke	S	O	O
，	，	S	O	O
饮	yin	B	O	O
食	shi	E	O	O
及	ji	B	O	O
二	er	I	O	O
便	bian	E	O	O
正	zheng	B	O	O
常	chang	E	O	O
。	。	S	O	O
查	cha	S	O	O
：	：	S	O	O
肺	fei	S	O	O
心	xin	B	O	O
腹	fu	E	O	O
未	wei	B	O	O
见	jian	I	O	O
异	yi	I	O	O
常	chang	E	O	O
。	。	S	O	O
头	tou	B	O	O
颅	lu	E	O	O
无	wu	S	O	O
畸	ji	B	SB	SB
形	xing	E	SE	SE
，	，	S	O	O
双	shuang	B	O	O
侧	ce	E	O	O
瞳	tong	B	O	O
孔	kong	E	O	O
正	zheng	B	O	O
大	da	E	O	O
等	deng	S	O	O
圆	yuan	S	O	O
对	dui	S	O	O
光	guang	B	O	O
反	fan	I	O	O
射	she	E	O	O
灵	ling	B	O	O
敏	min	E	O	O
。	。	S	O	O
右	you	S	O	O
颧	quan	B	O	O
部	bu	E	O	O
肿	zhong	B	SB	SB
胀	zhang	E	SE	SE
已	yi	S	O	O
消	xiao	B	O	O
退	tui	E	O	O
、	、	S	O	O
压	ya	B	O	O
痛	tong	E	O	O
，	，	S	O	O
挫	cuo	B	O	O
伤	shang	E	O	O
部	bu	B	O	O
分	fen	E	O	O
结	jie	B	O	O
痂	jia	E	O	O
脱	tuo	B	O	O
落	luo	E	O	O
。	。	S	O	O
鼻	bi	S	O	O
背	bei	B	O	O
部	bu	E	O	O
挫	cuo	B	O	O
伤	shang	E	O	O
部	bu	B	O	O
分	fen	E	O	O
结	jie	B	O	O
痂	jia	E	O	O
脱	tuo	B	O	O
落	luo	E	O	O
，	，	S	O	O
右	you	S	O	O
上	shang	B	O	O
唇	chun	E	O	O
肿	zhong	B	SB	SB
胀	zhang	E	SE	SE
略	lve	S	O	O
消	xiao	B	O	O
退	tui	E	O	O
明	ming	B	O	O
显	xian	E	O	O
，	，	S	O	O
压	ya	B	O	O
痛	tong	E	O	O
，	，	S	O	O
挫	cuo	B	O	O
伤	shang	E	O	O
部	bu	B	O	O
分	fen	E	O	O
结	jie	B	O	O
痂	jia	E	O	O
。	。	S	O	O
右	you	B	O	O
手	shou	E	O	O
内	nei	B	O	O
侧	ce	E	O	O
无	wu	B	O	O
菌	jun	E	O	O
绷	beng	B	O	O
带	dai	E	O	O
固	gu	B	O	O
定	ding	E	O	O
良	liang	B	O	O
好	hao	E	O	O
，	，	S	O	O
无	wu	S	O	O
渗	shen	B	O	O
出	chu	E	O	O
。	。	S	O	O
手	shou	B	O	O
指	zhi	E	O	O
感	gan	B	O	O
觉	jue	I	O	O
运	yun	I	O	O
动	dong	E	O	O
正	zheng	B	O	O
常	chang	E	O	O
。	。	S	O	O
神	shen	B	O	O
经	jing	I	O	O
系	xi	I	O	O
统	tong	E	O	O
查	cha	B	O	O
体	ti	E	O	O
未	wei	B	O	O
见	jian	I	O	O
异	yi	I	O	O
常	chang	E	O	O
。	。	S	O	O
患	huan	B	O	O
者	zhe	E	O	O
及	ji	S	O	O
家	jia	B	O	O
属	shu	E	O	O
要	yao	B	O	O
求	qiu	E	O	O
今	jin	B	O	O
日	ri	E	O	O
出	chu	B	O	O
院	yuan	E	O	O
。	。	S	O	O

患	huan	B	O	O
者	zhe	E	O	O
术	shu	B	O	O
后	hou	E	O	O
第	di	B	O	O
四	si	I	O	O
天	tian	E	O	O
，	，	S	O	O
未	wei	B	O	O
诉	su	E	O	O
切	qie	B	O	O
口	kou	E	O	O
疼	teng	B	SB	SB
痛	tong	E	SE	SE
，	，	S	O	O
无	wu	S	O	O
发	fa	B	SB	SB
热	re	E	SE	SE
，	，	S	O	O
无	wu	S	O	O
腹	fu	B	SB	SB
痛	tong	E	SE	SE
腹	fu	B	SB	SB
胀	zhang	E	SE	SE
，	，	S	O	O
饮	yin	B	O	O
食	shi	E	O	O
及	ji	B	O	O
二	er	I	O	O
便	bian	E	O	O
正	zheng	B	O	O
常	chang	E	O	O
。	。	S	O	O
肛	gang	B	O	O
门	men	E	O	O
已	yi	S	O	O
排	pai	B	O	O
气	qi	E	O	O
排	pai	B	O	O
便	bian	E	O	O
，	，	S	O	O
小	xiao	B	O	O
便	bian	E	O	O
正	zheng	B	O	O
常	chang	E	O	O
。	。	S	O	O
查	cha	B	O	O
体	ti	E	O	O
：	：	S	O	O
T	T	S	O	O
：	：	S	O	O
3	3	B	O	O
7	7	E	O	O
℃	℃	S	O	O
：	：	S	O	O
双	shuang	B	O	O
肺	fei	E	O	O
呼	hu	B	O	O
吸	xi	E	O	O
音	yin	S	O	O
清	qing	B	O	O
晰	xi	E	O	O
，	，	S	O	O
未	wei	B	O	O
闻	wen	E	O	O
及	ji	S	O	O
干	gan	B	O	O
湿	shi	E	O	O
性	xing	S	O	O
啰	luo	S	O	O
音	yin	S	O	O
。	。	S	O	O
腹	fu	B	O	O
平	ping	I	O	O
软	ruan	E	O	O
，	，	S	O	O
未	wei	B	O	O
见	jian	I	O	O
肠	chang	E	O	O
形	xing	B	O	O
及	ji	E	O	O
蠕	ru	B	O	O
动	dong	E	O	O
波	bo	S	O	O
。	。	S	O	O
肝	gan	B	O	O
脾	pi	I	O	O
未	wei	E	O	O
触	chu	B	O	O
及	ji	E	O	O
，	，	S	O	O
无	wu	S	O	O
压	ya	B	O	O
痛	tong	E	O	O
反	fan	B	O	O
跳	tiao	E	O	O
痛	tong	B	O	O
及	ji	E	O	O
肌	ji	S	O	O
紧	jin	B	O	O
张	zhang	E	O	O
。	。	S	O	O
移	yi	B	O	O
动	dong	I	O	O
性	xing	E	O	O
浊	zhuo	B	O	O
音	yin	E	O	O
阴	yin	B	O	O
性	xing	E	O	O
，	，	S	O	O
肠	chang	S	O	O
鸣	ming	B	O	O
音	yin	E	O	O
正	zheng	B	O	O
常	chang	E	O	O
4	4	S	O	O
次	ci	S	O	O
/	/	S	O	O
分	fen	S	O	O
。	。	S	O	O
切	qie	B	O	O
口	kou	E	O	O
无	wu	S	O	O
红	hong	B	SB	SB
肿	zhong	E	SE	SE
渗	shen	B	O	O
出	chu	E	O	O
。	。	S	O	O
阴	yin	B	O	O
囊	nang	E	O	O
无	wu	S	O	O
水	shui	B	SB	SB
肿	zhong	E	SE	SE
血	xie	B	SB	SB
肿	zhong	E	SE	SE
。	。	S	O	O
给	gei	B	O	O
予	yu	E	O	O
患	huan	B	O	O
者	zhe	E	O	O
停	ting	B	O	O
止	zhi	E	O	O
静	jing	B	O	O
点	dian	E	O	O
抗	kang	B	O	O
生	sheng	I	O	O
素	su	E	O	O

，	，	S	O	O
切	qie	B	O	O
口	kou	E	O	O
换	huan	B	O	O
药	yao	E	O	O
，	，	S	O	O
患	huan	B	O	O
者	zhe	E	O	O
要	yao	B	O	O
求	qiu	E	O	O
出	chu	B	O	O
院	yuan	E	O	O
，	，	S	O	O
给	gei	B	O	O
予	yu	E	O	O
办	ban	B	O	O
理	li	E	O	O
。	。	S	O	O

患	huan	B	O	O
者	zhe	E	O	O
精	jing	B	O	O
神	shen	E	O	O
可	ke	S	O	O
，	，	S	O	O
饮	yin	B	O	O
食	shi	E	O	O
可	ke	S	O	O
，	，	S	O	O
睡	shui	B	O	O
眠	mian	E	O	O
可	ke	S	O	O
，	，	S	O	O
二	er	B	O	O
便	bian	E	O	O
正	zheng	B	O	O
常	chang	E	O	O
。	。	S	O	O
右	you	S	O	O
膝	xi	B	O	O
关	guan	I	O	O
节	jie	E	O	O
疼	teng	B	SB	SB
痛	tong	E	SE	SE
缓	huan	B	O	O
解	jie	E	O	O
。	。	S	O	O
查	cha	B	O	O
体	ti	E	O	O
：	：	S	O	O
神	shen	B	O	O
清	qing	E	O	O
，	，	S	O	O
心	xin	B	O	O
肺	fei	E	O	O
腹	fu	S	O	O
未	wei	B	O	O
见	jian	I	O	O
异	yi	I	O	O
常	chang	E	O	O
。	。	S	O	O
脊	ji	B	O	O
柱	zhu	E	O	O
无	wu	S	O	O
侧	ce	B	O	SB
弯	wan	E	O	SI
畸	ji	B	SB	SI
形	xing	E	SE	SE
，	，	S	O	O
右	you	S	O	O
膝	xi	B	O	O
关	guan	I	O	O
节	jie	E	O	O
活	huo	B	O	O
动	dong	E	O	O
范	fan	B	O	O
围	wei	E	O	O
可	ke	S	O	O
，	，	S	O	O
无	wu	S	O	O
红	hong	B	SB	SB
肿	zhong	E	SE	SE
，	，	S	O	O
无	wu	S	O	O
发	fa	B	SB	SB
热	re	E	SE	SE
，	，	S	O	O
右	you	B	O	O
膝	xi	E	O	O
浮	fu	S	O	O
髌	bin	S	O	O
试	shi	B	O	O
验	yan	E	O	O
阴	yin	B	O	O
性	xing	E	O	O
，	，	S	O	O
四	si	B	O	O
肢	zhi	E	O	O
肌	ji	B	O	O
力	li	E	O	O
肌	ji	S	O	O
张	zhang	B	O	O
力	li	E	O	O
正	zheng	B	O	O
常	chang	E	O	O
，	，	S	O	O
生	sheng	B	O	O
理	li	E	O	O
反	fan	B	O	O
射	she	E	O	O
正	zheng	B	O	O
常	chang	E	O	O
存	cun	B	O	O
在	zai	E	O	O
，	，	S	O	O
病	bing	B	O	O
理	li	E	O	O
反	fan	B	O	O
射	she	E	O	O
未	wei	S	O	O
引	yin	B	O	O
出	chu	E	O	O
。	。	S	O	O

查	cha	B	O	O
房	fang	E	O	O
时	shi	S	O	O
患	huan	B	O	O
者	zhe	E	O	O
不	bu	S	O	O
在	zai	S	O	O
病	bing	B	O	O
房	fang	E	O	O
，	，	S	O	O
未	wei	B	O	O
留	liu	I	O	O
下	xia	E	O	O
电	dian	B	O	O
话	hua	E	O	O
及	ji	B	O	O
其	qi	E	O	O
它	ta	S	O	O
具	ju	B	O	O
体	ti	E	O	O
联	lian	B	O	O
系	xi	I	O	O
方	fang	I	O	O
式	shi	E	O	O
。	。	S	O	O

患	huan	B	O	O
者	zhe	E	O	O
诉	su	B	O	O
右	you	I	O	O
季	ji	E	O	O
肋	lei	B	O	O
部	bu	E	O	O
，	，	S	O	O
右	you	S	O	O
背	bei	B	O	O
部	bu	E	O	O
疼	teng	B	SB	O
痛	tong	E	SE	O
明	ming	B	O	O
显	xian	E	O	O
减	jian	B	O	O
轻	qing	E	O	O
。	。	S	O	O
无	wu	S	O	O
胸	xiong	B	O	SB
闷	men	E	O	SI
气	qi	B	O	SI
短	duan	E	O	SE
。	。	S	O	O
无	wu	S	O	O
发	fa	B	SB	SB
热	re	E	SE	SE
。	。	S	O	O
偶	ou	B	O	O
有	you	E	O	O
咳	ke	B	SB	SB
嗽	sou	E	SE	SI
咳	ke	B	SB	SI
痰	tan	E	SE	SE
。	。	S	O	O
饮	yin	B	O	O
食	shi	E	O	O
及	ji	B	O	O
二	er	I	O	O
便	bian	E	O	O
正	zheng	B	O	O
常	chang	E	O	O
。	。	S	O	O
生	sheng	B	O	O
命	ming	E	O	O
体	ti	B	O	O
征	zheng	E	O	O
平	ping	B	O	O
稳	wen	E	O	O
，	，	S	O	O
结	jie	B	O	O
膜	mo	E	O	O
无	wu	S	O	O
苍	cang	B	O	O
白	bai	E	O	O
。	。	S	O	O
心	xin	B	O	O
率	lv	E	O	O
7	7	B	O	O
6	6	E	O	O
次	ci	S	O	O
/	/	S	O	O
分	fen	S	O	O
，	，	S	O	O
律	lv	B	O	O
齐	qi	E	O	O
，	，	S	O	O
各	ge	S	O	O
瓣	ban	B	O	O
膜	mo	E	O	O
听	ting	B	O	O
诊	zhen	E	O	O
区	qu	S	O	O
未	wei	B	O	O
闻	wen	E	O	O
及	ji	S	O	O
杂	za	B	O	O
音	yin	E	O	O
。	。	S	O	O
腹	fu	B	O	O
部	bu	E	O	O
平	ping	B	O	O
坦	tan	E	O	O
，	，	S	O	O
未	wei	B	O	O
见	jian	E	O	O
胃	wei	B	O	O
肠	chang	E	O	O
型	xing	S	O	O
及	ji	S	O	O
蠕	ru	B	O	O
动	dong	E	O	O
波	bo	S	O	O
，	，	S	O	O
无	wu	S	O	O
腹	fu	B	O	O
壁	bi	E	O	O
静	jing	B	SB	SB
脉	mai	I	SI	SI
曲	qu	I	SI	SI
张	zhang	E	SE	SE
。	。	S	O	O
腹	fu	B	O	O
部	bu	E	O	O
未	wei	S	O	O
触	chu	B	O	O
及	ji	E	O	O
包	bao	B	SB	O
块	kuai	E	SE	O
。	。	S	O	O
叩	kou	B	O	O
鼓	gu	I	O	O
音	yin	E	O	O
，	，	S	O	O
移	yi	B	O	O
动	dong	I	O	O
性	xing	E	O	O
浊	zhuo	B	O	O
音	yin	E	O	O
阴	yin	B	O	O
性	xing	E	O	O
。	。	S	O	O
肠	chang	S	O	O
鸣	ming	B	O	O
音	yin	E	O	O
正	zheng	B	O	O
常	chang	E	O	O
，	，	S	O	O
无	wu	S	O	O
亢	kang	B	O	O
进	jin	E	O	O
（	（	S	O	O
4	4	S	O	O
次	ci	S	O	O
/	/	S	O	O
分	fen	S	O	O
）	）	S	O	O
。	。	S	O	O
胸	xiong	B	O	O
廓	kuo	E	O	O
对	dui	B	O	O
称	cheng	E	O	O
无	wu	S	O	O
畸	ji	B	SB	SB
形	xing	E	SE	SE
，	，	S	O	O
胸	xiong	B	O	O
带	dai	E	O	O
